#	id	advice	createdAt	reviewStatus	updatedAt	idea	member
1	1	"The most important works of Shin Kabuki are ""Kiri Hitoha"" (A Single Paulownia Leaf) & ""Hototogisu Kojo no Rakugetsu"" (The Sinking Moon Over the Lonely Castle Where the Cuckoo Cries) both by ""Shoyo TSUBOUCHI,"" ""Musuko"" (Son) by ""Kaoru OSANAI,"" ""Shuzenji Monogatari"" (The Tale of Shuzen-ji Temple) & ""Toribeyama Shinju"" (Love Suicides on Mt. Toribe) both by ""Kido OKAMOTO,"" ""Imayo Satsuma Uta"" (Modern Style Satsuma Songs) by Onitaro OKA, ""Genroku Chusingura"" (The 47 Ronin) by Seika MAYAMA, ""Saigo to Buta Hime"" (Saigo and His Favorite Fat Woman) by Daigo IKEDA."	2020-12-09 18:08:08	4	2020-12-09 18:08:08	24	2
2	2	Many other commercialized products exist in Japan that are difficult for Japanese to tell whether they are nihon-ryori dishes or foreign dishes for example; 'the essence of tom yam chazuke (boiled rice with tea poured over it' with the flavor of the 'tom yam' soup famous as a soup dish in the Kingdom of Thailand, 'the Morioka reimen' (cold noodles), the pho (Vietnamese noodle soup) Japanized by completely changing the udon nature using the leaf mustard that Vietnamese never ate originally, and 'rice burger' in which boiled rice is placed on the both sides of a teriyaki (grilled with soy sauce and sugar) beef paddy.	2020-12-09 18:21:34	1	2020-12-09 18:21:34	23	2
3	3	Therefore, the characteristics that have generally been passed on till today--a long nose and red face, wearing the attire of a Yamabushi monk, and wearing wooden clogs with single support, flying freely in the sky with a leaf fan and having evil design--have been interpreted since the middle ages, and it is considered to be the superstitious blending of originally quite different characteristics.	2020-12-09 19:13:12	1	2020-12-09 19:13:12	22	2
4	4	A solution of powdered mica powder is applied to the paper, which is then decorated using a marbling technique, with grains, slices and pieces of gold or silver leaf randomly sprinkled over each ryoshi, and on such highly decorated paper, elegant Fuzokuga (pictures of manners and customs) in the Yamato-e style were hand painted in deep colors and then sutras written.	2020-12-09 19:17:47	4	2020-12-09 19:17:47	21	2
5	5	Such as Nozawana (a variation of turnip) in Nagano Prefecture, shaved kelp in Toyama, Ishikawa, and Fukui Prefectures (the largest production centers of kelp), and leaf mustard pickles in Wakayama Prefecture which show regionality, and also there is a rice omelet-like onigiri which wrapped chicken with rice with crepe-style fried egg.	2020-12-09 19:18:05	1	2020-12-09 19:18:05	20	2
6	6	Before the period in which printing with a personal computer became popular, the New Year's postcard was often printed by a household type of small, simplified printing machine.	2020-12-09 19:19:12	1	2020-12-09 19:19:12	19	2
7	7	It refers to a phenomenon in which, because of the combination of parts which have not gone through the operation verification, the operation of a personal computer (PC) becomes unstable or the PC cannot be activated.	2020-12-09 19:19:27	1	2020-12-09 19:19:27	18	2
8	8	The background of the case when a user is told to 'just buy a new one' is the idea that 'because the causes of the problem can be infinite, it is actually cheaper to buy a new one rather than spending time to specify the problem, even though the cost of the computer itself is wasted.'	2020-12-09 19:19:38	4	2020-12-09 19:19:38	17	2
9	9	In particular, fields such as computer games, animations, and comics, and a food culture have penetrated urban areas of Western and Asian countries, and as a result, related shops and facilities (Sushi Bars and comic shops) came to be established.	2020-12-09 19:19:55	4	2020-12-09 19:19:55	16	2
10	10	"A character appeared called Mikan-Seijin (mikan alien) made by computer graphics in a TV program for children, ""Ugo Ugo Ruga"" (Fuji Television Network.)"	2020-12-09 19:20:07	4	2020-12-09 19:20:07	15	2
